transaction_id,account_id,amount,transaction_type,status,txn_timestamp
1,100532,7052.51,credit,success,2023-10-12 14:11:00
2,100550,43041.94,transfer,success,2023-01-22 23:06:00
3,100270,16599.57,credit,failed,2023-04-16 15:46:00
4,100023,25916.6,debit,pending,2023-12-20 21:36:00
5,100696,4522.99,transfer,failed,2023-10-16 22:55:00
6,100161,46211.76,credit,pending,2023-01-22 15:57:00
7,100471,49024.52,debit,success,2023-06-29 08:29:00
8,100562,1368.27,transfer,success,2023-02-20 20:24:00
9,100593,38018.56,payment,failed,2023-01-11 09:55:00
10,100206,36870.3,payment,failed,2023-10-08 21:27:00
11,100350,29117.33,payment,success,2023-09-26 02:28:00
12,100623,39686.9,debit,pending,2023-08-02 17:25:00
13,100353,35837.48,credit,pending,2023-07-31 11:04:00
14,100577,2180.59,payment,pending,2023-03-30 05:26:00
15,100607,5046.71,credit,success,2023-09-01 07:19:00
16,100595,38368.92,payment,failed,2023-04-12 17:07:00
17,100105,24367.3,debit,pending,2023-08-30 13:53:00
18,100528,35362.33,payment,failed,2023-03-30 00:29:00
19,100007,2890.22,debit,success,2023-05-13 07:08:00
20,100546,7167.44,debit,pending,2023-06-13 22:13:00
21,100200,15457.66,transfer,success,2023-12-28 03:09:00
22,100364,211.68,debit,pending,2023-12-12 16:15:00
23,100361,2236.31,transfer,pending,2023-03-31 04:08:00
24,100645,24496.75,debit,failed,2023-10-08 11:37:00
25,100044,19533.96,payment,pending,2023-05-26 20:12:00
26,100548,26553.48,payment,pending,2023-08-28 13:49:00
27,100521,25016.65,transfer,failed,2023-04-14 22:08:00
28,100498,48880.75,payment,success,2023-08-09 08:17:00
29,100570,40567.02,credit,pending,2023-10-15 05:42:00
30,100006,1992.3,credit,success,2023-09-12 07:11:00
31,100190,22023.2,debit,failed,2023-07-20 20:45:00
32,100593,39803.1,payment,success,2023-03-16 22:46:00
33,100334,43202.82,credit,success,2023-12-27 12:47:00
34,100576,30467.79,transfer,failed,2023-01-06 01:31:00
35,100231,22047.3,debit,success,2023-05-26 22:54:00
36,100028,34058.28,credit,pending,2023-09-23 16:33:00
37,100539,43499.28,transfer,success,2023-05-04 02:43:00
38,100487,44279.4,debit,failed,2023-11-04 13:56:00
39,100028,35959.37,debit,failed,2023-04-02 12:41:00
40,100052,32516.16,credit,failed,2023-12-02 08:48:00
41,100582,13957.11,credit,pending,2023-08-10 03:02:00
42,100108,31454.65,transfer,success,2023-06-20 10:31:00
43,100051,6219.88,debit,pending,2023-02-28 07:02:00
44,100665,39144.98,payment,failed,2023-06-26 04:07:00
45,100112,35313.87,payment,success,2023-04-06 20:43:00
46,100522,7335.85,debit,pending,2023-05-28 01:58:00
47,100071,10522.88,transfer,failed,2023-07-01 15:44:00
48,100595,18624.9,debit,pending,2023-05-31 01:47:00
49,100227,40125.56,debit,failed,2023-06-08 07:48:00
50,100239,21882.05,debit,failed,2023-08-08 09:09:00
51,100381,40424.9,debit,pending,2023-09-11 08:33:00
52,100015,5864.39,transfer,pending,2023-01-15 07:02:00
53,100621,38671.0,transfer,pending,2023-06-01 18:45:00
54,100613,47035.64,transfer,failed,2023-11-11 17:33:00
55,100167,300.04,credit,failed,2023-04-03 13:06:00
56,100054,13492.18,debit,failed,2023-10-10 03:34:00
57,100548,1869.53,debit,failed,2023-08-30 16:37:00
58,100325,1000.68,transfer,failed,2023-12-18 22:52:00
59,100158,5058.2,debit,success,2023-11-11 15:41:00
